name,type,cuisine,address,lat,lon,phone,website,opening_hours
Burger Cartier,fast_food,,Strada Gheorghe Cașu,47.0047009,28.8332957,,,Mo-Su 08:00-23:00
Trattoria Della Nonna,restaurant,,Strada Arborilor,47.0048303,28.8402446,,,
Tracom,cafe,,Strada Mihai Viteazul,47.0384153,28.8224705,,,Mo-Fr 09:00-16:00
Vero Café,cafe,,Strada Petricani,47.0476030,28.8265218,,,
Drink Art,cafe,,Strada Albișoara,47.0379507,28.8382248,+373 698 92 183,,Mo-Fr 07:00-22:00; Sa-Su 08:00-22:00
Coffee Point Street Café,cafe,,Strada Armenească,47.0213774,28.8412097,+373 695 89 388,,Mo-Su 07:00-19:00
Coffee Point Street Café,cafe,,Strada Constantin Tănase,47.0292978,28.8373890,+37369589388,,Mo-Fr 07:00-19:00; Sa 08:00-18:00
Cosmic Cup Coffee,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0219592,28.8371734,,,
Sicilia Coffee House,cafe,,Strada Valea Trandafirilor,47.0080593,28.8485436,,,
Il Forno,restaurant,,Strada Alexei Șciusev,47.0245406,28.8212183,,,Mo 12:00-22:00; Tu-Su 10:00-22:00
Poetry Coffeeshop Powered by Julius Meinl,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0292418,28.8247332,,,
Sincer Café,cafe,,Strada Mihai Eminescu,47.0202250,28.8347421,,,"Su-Th 08:00-21:00; Fr,Sa 08:00-22:00"
Piana Vyshnia,bar,,Bulevardul Ștefan cel Mare și Sfânt,47.0268189,28.8286629,,https://www.fest.lviv.ua/uk/restaurants/drunkcherry/,
Sens Unic,cafe,,Strada Andrei Doga,47.0325963,28.8583023,,,
Naringi,cafe,,Strada 31 August 1989,47.0245854,28.8262264,,,
Naringi,cafe,breakfast;cake;coffee_shop;donut;sandwich,Strada Aleksandr Pușkin,47.0229016,28.8330952,+37378992249,https://naringi.md/,Mo-Su 10:00-20:00
Kavkazskaya Plennitsa,restaurant,,Strada Kiev,47.0421087,28.8592160,,,
GoodVin,restaurant,,Strada Studenților,47.0625283,28.8749268,,,
Cafeneaua Veche,bar,regional,Strada Doina și Ion Aldea-Teodorovici,47.0304830,28.7938596,,,
Chi Wok Express,restaurant,asian,Strada Vlaicu Pârcălab,47.0234606,28.8366893,,,
Rikko's Coffee,restaurant,,Strada Vlaicu Pârcălab,47.0234902,28.8366391,,,
Laffa Israel Street Food,restaurant,,Strada Aleksandr Pușkin,47.0253533,28.8366196,,,
Cats Café,cafe,,Strada Aleksandr Pușkin,47.0251996,28.8367468,,,
Nōema,restaurant,,Bulevardul Ștefan cel Mare și Sfânt,47.0267716,28.8280930,,,
Hookah Cartel,restaurant,,Bulevardul Ștefan cel Mare și Sfânt,47.0266067,28.8280673,,,
Jolly Alon Terrace,restaurant,,Strada Maria Cebotari,47.0263129,28.8258361,,,
Lingurița de Argint,restaurant,,Strada Frumoasa,47.0036650,28.8140998,+373 22 288 176,https://www.facebook.com/LinguritaDeArgint,Mo-Sa 08:00-20:00
,bar,,,47.0341141,28.8632938,,,
Billiard Hall,pub,,Strada Calea Ieșilor,47.0401574,28.8025512,,,
Fuior,restaurant,regional;romanian,Strada Aleksandr Pușkin,47.0247979,28.8361654,+373 689 44 944,https://www.fuior.md/,Mo-Su 09:00-23:00
Star Kebab,fast_food,,Strada Alecu Russo,47.0379679,28.8846755,,,
La Strada Sandwicherie,fast_food,sandwich,Strada Constantin Tănase,47.0297052,28.8373848,,,
La Grătar,restaurant,regional;romanian,Strada Columna,47.0221406,28.8424266,,,
Torro Pizza,restaurant,pizza,Strada Miron Costin,47.0496654,28.8692869,,,
Saperavi,restaurant,georgian,Bulevardul Ștefan cel Mare și Sfânt,47.0316436,28.8225362,,,
Divus,restaurant,,Strada Mitropolit Gavriil Bănulescu-Bodoni,47.0219498,28.8254772,,,
D'Vine,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0307793,28.8226946,,,
Pado Cuisine Café,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0313283,28.8218300,,,
Oliva Verde,restaurant,italian,Strada Alexei Șciusev,47.0177911,28.8307026,,,
Corso Pizza,restaurant,pizza,Strada Mihai Eminescu,47.0172841,28.8299760,,,
CityPizza,fast_food,pizza,Bulevardul Mircea cel Bătrân,47.0590324,28.8924105,+373 697 78 554,http://citypizza.md/,Mo-Fr 11:00-22:00; Sa-Su 10:00-22:00
New York,restaurant,,Strada Arborilor,47.0056203,28.8411863,,,
Star Kebab,fast_food,kebab,Strada Alba Iulia,47.0348290,28.7760928,+373 22 855 725,https://starkebab.md/,Mo-Su 08:00-01:00
Casa Della Pizza,restaurant,italian,Strada Mihail Kogălniceanu,47.0195838,28.8254643,,,
Pegas,restaurant,,Strada Albișoara,47.0207231,28.8555243,+373 (22) 27-47-13,http://www.pegas.md,24/7
Barul Teatrului Gastronomic,bar,,Bulevardul Ștefan cel Mare și Sfânt,47.0268340,28.8284763,,,
Café Central,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0267402,28.8285565,,,
Craft Baza,pub,,Strada Constantin Tănase,47.0290617,28.8368114,,,
Cantina din Blocul Central al Universității de Stat din Moldova,cafe,,Strada Alexei Mateevici,47.0185805,28.8235652,,,
Ellation Sky Lounge,cafe,,Strada Alexandru cel Bun,47.0273485,28.8368269,,,
Bistekka,restaurant,italian,Strada Alexandru cel Bun,47.0275527,28.8363612,+373 788 40 808,,
Salsa House Club Café,cafe,,Strada Alexandru cel Bun,47.0278656,28.8360506,,,
Coffee Party,cafe,,Șoseaua Hâncești,47.0029905,28.8169291,,,
Coffee Party,cafe,,Strada Aleksandr Pușkin,47.0217074,28.8313831,,,
Albion,bar,,Strada Alexandr Pușkin,47.0215243,28.8314770,,,
Urbanic Sandwicherie,restaurant,,Strada Aleksandr Pușkin,47.0226952,28.8327559,,,
Frumușica,cafe,,Strada Calea Basarabiei,47.0090114,28.8739978,,,
Terasa Plovdiv,cafe,,Bulevardul Moscova,47.0472916,28.8635256,,,
Horst,bar,,Strada 31 August 1989,47.0152956,28.8410155,,,
Cantina Socială „Rîșcani”,restaurant,,Strada Dumitru Râșcanu,47.0364678,28.8619545,,,
Off'line,cafe,,Strada Calea Ieșilor,47.0386034,28.8143207,+373 799 33 454,,Mo-Th 09:00-02:00; Fr 09:00-04:00; Sa 16:00-04:00; Su 16:00-03:00
Reggenza Restaurant,restaurant,romanian,Strada Sfatul Țării,47.0250339,28.8213295,,,
Esushi,restaurant,sushi,Strada Sfatul Țării,47.0249286,28.8217353,,,
Marlène,bar,,Strada București,47.0212075,28.8285137,,,Mo-Th 16:00-23:00; Fr-Su 16:00-24:00
Sala de Degustare Wine.md,bar,,Strada Alexei Șciusev,47.0196795,28.8284905,,,
Z Café,cafe,,Strada 31 August 1989,47.0201955,28.8327731,,,
Madam Wong,restaurant,asian,Strada Alexandr Pușkin,47.0267753,28.8386543,,,
Complement,restaurant,,Strada Armenească,47.0165229,28.8349609,,,
Dulcinella,cafe,,Strada Alba Iulia,47.0420326,28.7613840,,,
Bonjour Café,cafe,,Strada Columna,47.0266989,28.8354550,+373 795 99 123,https://www.facebook.com/bonjour.cafe.md/,
BierJa,bar,,Strada Gheorghe Asachi,47.0002092,28.8215007,,,
2You.Coffee,cafe,,Strada Alexandr Pușkin,47.0274403,28.8390325,+373 685 58 588,,Mo-Su 07:00-19:00
Restaurant Luna,restaurant,,Strada Mitropolit Petru Movilă,47.0279604,28.8194174,,,
Velgar,restaurant,,Strada Mitropolit Varlaam,47.0236142,28.8384709,,,
Staropramen Pub,pub,,Bulevardul Moscova,47.0526466,28.8649948,,,
Wurst,fast_food,,Bulevardul Mircea cel Bătrân,47.0405343,28.8891852,,,
Taxi Blues Café,cafe,,Strada Lev Tolstoi,47.0103587,28.8424251,,,
Pepperoni,fast_food,pizza,Bulevardul Decebal,47.0043961,28.8603795,,,
Metaxa,restaurant,greek,,47.0043610,28.8605535,,,
Coffee House,cafe,,Bulevardul Decebal,47.0043287,28.8607043,,,
Sakura,restaurant,japanese,Bulevardul Decebal,47.0042580,28.8606738,,,
Café de Paris,cafe,,Bulevardul Decebal,47.0042898,28.8605132,,,
Honey Lounge Café,cafe,,Bulevardul Decebal,47.0043246,28.8603517,,,
Captain Black,bar,,Bulevardul Decebal,47.0042239,28.8608430,,,
Coffee Jeans,cafe,,Bulevardul Decebal,47.0042992,28.8608691,,,
Kontrast Coffee,cafe,,Strada Uzinelor,47.0239661,28.8670145,,,
Kontrast Wine Bar,bar,,Strada Uzinelor,47.0239789,28.8670562,,,
Bis & Elsa,cafe,,Strada Albișoara,47.0260404,28.8522630,,,
Pic & Pon Café,cafe,,Strada Calea Orheiului,47.0660913,28.8567446,,,
VIP House,bar,,Strada Miron Costin,47.0503882,28.8655149,+373 601 92 898,,
Maguro Sushi,restaurant,sushi,Strada Miron Costin,47.0504019,28.8654277,+373 698 84 488,https://maguro.md/,Mo-Su 11:00-23:00
Real Smoothie Bar,fast_food,juice,Strada Miron Costin,47.0506917,28.8647913,,,
Café de Flore,cafe,,Șoseaua Balcani,47.0821876,28.8276471,,,
Yapona Mama,restaurant,sushi,Strada Bogdan Voievod,47.0434672,28.8595392,,,
Osho Bar & Kitchen,restaurant,,Bulevardul Decebal,47.0061200,28.8602388,,,
ÎI Răileanu,bar,,Strada Nicolae Milescu Spătarul,47.0482719,28.8974196,,,
Ciayna Grill,restaurant,steak_house,Strada Calea Orheiului,47.0436179,28.8470613,+373 790 19 977,,
Dalmors-Grup Fish Café,restaurant,seafood,Strada Uzinelor,47.0163602,28.8726399,,,
Elșu Coffee,cafe,coffee_shop,Strada Ion Creangă,47.0283189,28.7962258,,,
Blin'OK,restaurant,,Strada Eugen Doga,47.0279628,28.8375700,,,
Salat,restaurant,,Strada Calea Ieșilor,47.0434351,28.7902569,,,
Vega-L,restaurant,,Strada Alba Iulia,47.0293574,28.7874666,,,
Coffee Like,cafe,coffee_shop,Bulevardul Grigore Vieru,47.0320008,28.8438288,,,
Bar „Auto Formula 1”,bar,,Strada Vadul lui Vodă,47.0290893,28.8764178,,,
Cafenea Varzari,cafe,,,47.1451430,28.8351062,,,
Power Kebab,fast_food,kebab,Bulevardul Ștefan cel Mare și Sfânt,47.0182481,28.8426731,,,
Andy's Pizza,restaurant,,Bulevardul Ștefan cel Mare și Sfânt,47.0181882,28.8427684,,,
Pepe Rosso,restaurant,turkish,Bulevardul Ștefan cel Mare și Sfânt,47.0180969,28.8428865,,,
Castle Tavern,restaurant,romanian,Bulevardul Ștefan cel Mare și Sfânt,47.0199987,28.8410627,+373 790 50 608,,
Nobil Restaurant,restaurant,,Strada Mihai Eminescu,47.0225553,28.8368543,,,
Marcu's Coffee,cafe,coffee_shop,Bulevardul Ștefan cel Mare și Sfânt,47.0230288,28.8360073,,,
Fanatik Internet-Club,internet_cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0234339,28.8347738,,,
Tik-Tak,restaurant,,Bulevardul Ștefan cel Mare și Sfânt,47.0230508,28.8355381,,,
Oktoberfest Pub,pub,,Strada Calea Ieșilor,47.0431048,28.7939436,,,
Zaxi Fun & Finest,restaurant,,Strada Mitropolit Varlaam,47.0242926,28.8367703,,,
Taste of Blu Wine House,bar,,Strada Mitropolit Varlaam,47.0243044,28.8364882,,,
Rooftop Terrace,bar,,Strada Mitropolit Varlaam,47.0242616,28.8368240,,,
Apty's Pub,pub,,Strada Mitropolit Varlaam,47.0241784,28.8366462,,,
Ambassador,restaurant,,Strada Mitropolit Varlaam,47.0242306,28.8367289,,,
Morpho,cafe,cake;coffee_shop,Strada Mihai Eminescu,47.0225632,28.8375389,,,Mo-Fr 07:00-23:00; Sa-Su 08:00-23:00
Coffee Point Street Café,cafe,,Bulevardul Mircea cel Bătrân,47.0533947,28.8914948,+37369589388,,Mo-Su 07:00-22:00
Bürger,fast_food,,Strada Tudor Vladimirescu,47.0277476,28.7709937,,,
Coffee Station,cafe,coffee_shop,Strada Alecu Russo,47.0440474,28.8626587,,,
B19,bar,,Bulevardul Mircea cel Bătrân,47.0437979,28.8911104,,,
Salat,restaurant,,Strada Kiev,47.0438651,28.8615596,,,
Greko Fresh,restaurant,greek,Strada Vasile Alecsandri,47.0079944,28.8268013,,https://www.facebook.com/grekofresh/,Mo-Su 09:00-24:00
Grand Optica Café,cafe,,Strada Vasile Alecsandri,47.0085296,28.8272232,,,
Select Café,cafe,,Bulevardul Mircea cel Bătrân,47.0486736,28.8896946,,,
Gold Baklava,cafe,,Strada Alba Iulia,47.0374800,28.7695894,,,
Terasa Mugurel,restaurant,romanian,Strada Mihail Sadoveanu,47.0383321,28.8785311,,,
Sushiko,restaurant,sushi,Strada Ismail,47.0172952,28.8487101,,,
Pro Sănătate,bar,,Strada Vasile Alecsandri,47.0237074,28.8425738,,https://www.facebook.com/2121557894795908/,
Tbilisi,restaurant,georgian,Bulevardul Ștefan cel Mare și Sfânt,47.0175878,28.8414319,+373 691 10 033,,
Tucano Coffee Kenya,cafe,coffee_shop,Bulevardul Moscova,47.0462394,28.8617382,+373 608 07 764,http://www.tucanocoffee.md/,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00
Coffee Time,cafe,coffee_shop,Strada Eugen Coca,47.0335427,28.8076594,,,
Retro Café,cafe,,Strada Calea Ieșilor,47.0376359,28.8116287,,,
Noroc,bar,,Strada Sucevița,47.0375447,28.7827901,,,
Bizonn,restaurant,,Strada Suceava,47.0318309,28.7887675,+37368105426,https://www.facebook.com/Bizonn.Chisinau/,
PUBG Playstation & PC Club,internet_cafe,,Bulevardul Mircea cel Bătrân,47.0400567,28.8891824,,,
Dima Kebab,fast_food,,Strada Vasile Lupu,47.0223733,28.7988546,,,
The Old Street Coffee & More,cafe,coffee_shop,Strada Mitropolit Varlaam,47.0237115,28.8369289,,,
Kebab Express,fast_food,kebab,Strada Alba Iulia,47.0268025,28.7916514,,,
Beer Street,pub,,Strada Cornului,47.0198692,28.7951059,,,
Esushi,restaurant,sushi,Strada Calea Ieșilor,47.0398499,28.8030555,,,
Esushi,restaurant,sushi,Strada Calea Ieșilor,47.0397005,28.8038272,,,
Dulcinella,cafe,,Strada Nicolae Costin,47.0434260,28.7706303,+37368133700,https://dulcinella.md/ro,Mo-Su 08:00-21:00
Dizzy Eagle,bar,,Strada Nicolae Costin,47.0431437,28.7721819,+37360584555,https://dizzyeagle.business.site/?utm_source=gmb&utm_medium=referral,Mo-Su 08:30-22:00
Esushi,restaurant,sushi,Strada Nicolae Costin,47.0428821,28.7716513,+373 681 33 700,https://www.esushi.md/,Mo-Su 10:00-23:00
DABBLS,cafe,coffee_shop,Strada Mitropolit Gavriil Bănulescu-Bodoni,47.0229358,28.8269385,,,
Bisquit Café,cafe,,Bulevardul Moscova,47.0568274,28.8667015,,,
Das Kebab,fast_food,kebab,Bulevardul Moscova,47.0566643,28.8664263,,,
Markiz Café & Bar,cafe,,Strada Alba Iulia,47.0401818,28.7615422,,,
Good & Food Café,cafe,,Strada Codrilor,47.0386255,28.7565877,+37369134775,,
Villa Gusto's,cafe,,Strada Paris,47.0300497,28.7802261,,,
Aquaexpress Café,cafe,,Strada Florești,47.0315468,28.7830238,,,
Bar Total Wash,bar,,Strada Alba Iulia,47.0332403,28.7795640,,,
Cantina Orange,cafe,,Strada Alba Iulia,47.0372764,28.7705787,,,
Royal Wash Café,cafe,,Strada Florești,47.0296957,28.7867653,,,
Balkan Grill,restaurant,balkan,Strada Ion Creangă,47.0267216,28.7914832,+373 620 30 001,,Mo-Su 10:00-23:00
Mussels Seafood & Wine,restaurant,,Strada Mihai Eminescu,47.0194424,28.8339098,,,
Lake House,bar,,Bulevardul Ștefan cel Mare și Sfânt,47.0317795,28.8223353,,https://lakehouse.md/,
Coffee Varka,cafe,coffee_shop,Strada Ion Creangă,47.0367065,28.8110589,,,
Bar 10 Level,bar,,Strada Liviu Deleanu,47.0466794,28.7658258,,,
Jumbo Restaurant,restaurant,,Bulevardul Decebal,47.0023169,28.8603318,,,
Avocado Café,cafe,,Strada Ion Creangă,47.0277073,28.7960306,,,
Coffee Party,cafe,coffee_shop,Strada Ion Creangă,47.0282785,28.7968461,,,
The Cup Express,cafe,coffee_shop,Strada Ion Creangă,47.0285821,28.7977736,,,
Mr. Kebab,fast_food,kebab,Bulevardul Moscova,47.0489564,28.8636518,,,
CremCaffe,cafe,coffee_shop,,47.0187056,28.8193106,,,
like,cafe,coffee_shop,,47.0217221,28.8150336,,,
Bonjour Café,cafe,coffee_shop,Strada Alexandru Plămădeală,47.0198398,28.8099673,,,
Tomat,fast_food,,Bulevardul Mircea cel Bătrân,47.0539747,28.8899221,,,
Luciana,cafe,,Bulevardul Mircea cel Bătrân,47.0539115,28.8899177,,,
Ebere,bar,,Bulevardul Renașterii Naționale,47.0361653,28.8496033,,,
The Cup Espresso Bar,cafe,coffee_shop,Bulevardul Mircea cel Bătrân,47.0412767,28.8908923,,,
Old House Pub,pub,,Strada Alba Iulia,47.0361032,28.7760024,,,
LavAzza,cafe,coffee_shop,Strada Miron Costin,47.0496063,28.8677770,,,
Storno Pasta & Pizza,restaurant,italian,Strada Miron Costin,47.0496549,28.8693550,,,
Andy's Express,fast_food,,,47.0013327,28.8552968,,,
Adam & Eva,restaurant,,Strada Păcii,47.0327967,28.7657129,+373 697 03 937,https://www.facebook.com/restaurantadamsieva/,
Picnic,cafe,,Strada Tudor Vladimirescu,47.0318304,28.7676579,,,
Coffee & Pottery,cafe,,Strada Vasile Lupu,47.0220740,28.7983681,,,
FILIN Espresso Bar,cafe,coffee_shop,Strada Ghioceilor,47.0188600,28.8064935,,,24/7
Café Razzy,cafe,,Strada Tudor Vladimirescu,47.0386839,28.7554086,,,
Yapona Mama,restaurant,sushi,Strada Ion Pelivan,47.0288786,28.7878412,,,
Texas,bar,,Strada Onisifor Ghibu,47.0346826,28.7755399,+37367422320,https://texas-buiucani.business.site/,
,cafe,,Strada Codrilor,47.0380281,28.7575992,,,
Sala de banchete „Balcani”,cafe,,Strada Balcani,47.0409018,28.7526774,+37369780656,,
Caffe Market,cafe,,Strada Codrilor,47.0387209,28.7568702,+37360327798,https://caffemarket.md/,
Freedom-Pub,pub,,Strada Liviu Deleanu,47.0464586,28.7669271,+37369249000,,
Vanillia,fast_food,,Șoseaua Balcani,47.0584864,28.7822552,+37360966877,https://www.facebook.com/vanilliacatering/,
Căsuța cu Plăcinte,cafe,,Strada Buiucani,47.0411971,28.7502490,+373 600 03 009,,
Keller Holz Gastropub,restaurant,grill;regional,Bulevardul Ștefan cel Mare și Sfânt,47.0179942,28.8417733,+373 68 999 920,https://kh.md,Mo-Su 11:00-23:00
Sunduk,bar,,Strada Vasile Lupu,47.0219268,28.8074422,,,
Forest Bar & Grill,bar,,Strada Nicolae Costin,47.0412800,28.7747017,+373 601 23 000,https://www.facebook.com/Forest-Bar-Grill-236197246943690/,
Fortis Café,cafe,,Strada Nicolae Costin,47.0411643,28.7749339,+37369113771,https://www.facebook.com/FortisCafe1/,
Blueberry Coffee,cafe,coffee_shop,Strada Ion Creangă,47.0363422,28.8105966,,,
Mojo,restaurant,,Strada Constantin Tănase,47.0299224,28.8376399,,,
Bachus Dava,restaurant,romanian,Strada Calea Ieșilor,47.0387919,28.8025473,+373 22 592 162,,
Dolce Dor,restaurant,,Strada Calea Ieșilor,47.0456462,28.7829559,,,
Restaurantul „Butoiaș”,restaurant,,Strada Calea Ieșilor,47.0469522,28.7787615,+37378999973,https://www.butoias.md/,
Sol,restaurant,,Strada Ghidighici,47.0467601,28.7833683,+37368999930,https://www.solrestaurant.md/,"Mo-Thu,Su 09:00-23:00; Fr-Sa 09:00-02:00"
Soccer Smile,cafe,coffee_shop,Strada Ghidighici,47.0477824,28.7836264,,,
Bio Cocof,cafe,,Strada Vlaicu Pârcălab,47.0246146,28.8382076,,,
,cafe,coffee_shop,Strada Calea Ieșilor,47.0424140,28.7962703,,,
Cafenea Acvila,cafe,,Strada Calea Ieșilor,47.0423511,28.7983874,+37368499292,https://cafenea-acvila.business.site/?utm_source=gmb&utm_medium=referral,
Wurst,fast_food,,Strada Calea Ieșilor,47.0394983,28.8036696,+373 695 20 520,https://www.wurst.md/,
La Plăcinte,restaurant,regional;romanian,Strada Alba Iulia,47.0336488,28.7787365,+373 22 265 401,https://laplacinte.md/,Mo-Su 10:00-22:00
Turcanu Raisa,bar,,,47.1280457,28.9998212,,,
Tucano Coffee Uganda,cafe,,Strada Calea Ieșilor,47.0398249,28.8031535,,,
OBA,fast_food,,Strada Bucuriei,47.0406176,28.8124008,,,
Grey Goose Garden,restaurant,,Strada Ghidighici,47.0472385,28.7834025,,,
Mus Gastronomic,restaurant,,Bulevardul Moscova,47.0515824,28.8646137,,,
Daito Sushi,restaurant,sushi,Strada Aleksandr Pușkin,47.0192384,28.8273617,+37379333051,https://daitosushi.md/,
Mister Burger,fast_food,,Strada Albișoara,47.0149745,28.8556229,,,
Tokyo Sushi,restaurant,sushi,Strada Calea Ieșilor,47.0401830,28.8023549,,,
Bonjour Café,cafe,,,47.0252989,28.8281332,,,
Moicafé,cafe,,Strada Doina,47.0609322,28.8357629,,,
Magic Lounge Pizza,restaurant,pizza,Strada Mihail Sadoveanu,47.0328493,28.8789675,,,
Vinopizza,restaurant,pizza,Strada Vlaicu Pârcălab,47.0213296,28.8316132,,,
Plincuvin Wine Bar,bar,,Stradela Teatrului,47.0268888,28.8315495,,,
Namaste Café & Pub,restaurant,asian,Strada Academiei,47.0014925,28.8150696,,,
Sushka,restaurant,sushi,Bulevardul Moscova,47.0452361,28.8622167,,,
Fork Café,cafe,,Strada Petricani,47.0443548,28.8318887,,,
Pepperoni Pizza,fast_food,pizza,Strada Calea Ieșilor,47.0396337,28.8039782,,,
Coffee Point Studio,cafe,,Bulevardul Mircea cel Bătrân,47.0429167,28.8909425,069589388,,Mo-Su 07:00-22:00
Restaurant „Doi Îngerași”,restaurant,,Strada Tudor Vladimirescu,47.0281285,28.7704238,+37368901907,https://www.facebook.com/restaurantdoiingerasi/,
Kavcazskiy Dvorik,bar,,Strada Tudor Vladimirescu,47.0266184,28.7724367,,,
Affelia,restaurant,,Strada Tudor Vladimirescu,47.0259650,28.7765202,,http://affelia.md,
Cohya,cafe,coffee_shop,Strada Bogdan Voievod,47.0434476,28.8586641,,,
1516 by RockScor Brewery,pub,,Strada Vlaicu Pârcălab,47.0191796,28.8300654,,,Tu-Su 12:00-22:00
Milk Coffee,cafe,coffee_shop,Strada Alexei Șciusev,47.0190396,28.8294058,,,
Pizzeria pe Vatră,restaurant,pizza,Strada Grătiești,47.0618413,28.8479072,,,
City Coffee,cafe,coffee_shop,Bulevardul Moscova,47.0480281,28.8633930,,,
City Burger,fast_food,burger,Strada Socoleni,47.0622012,28.8525913,,,
Kot Coffee,cafe,coffee_shop,Strada Calea Ieșilor,47.0386886,28.8084247,,,
Ray Coffee,cafe,coffee_shop,Strada Maria Drăgan,47.0204101,28.8835119,,,
Filin Café,cafe,,Strada Ciocana,47.0207917,28.8864876,,,
Ray Coffee,cafe,coffee_shop,Strada Maria Drăgan,47.0204101,28.8835119,,,
Filin Café,cafe,,Strada Ciocana,47.0207917,28.8864876,,,
Coffee Meow,cafe,coffee_shop,Strada Profesor Ion Dumeniuc,47.0563765,28.8912364,,,
Bistretto Coffee & Pastry Bar,cafe,coffee_shop,Strada Profesor Ion Dumeniuc,47.0561614,28.8919905,,,
Zeppelín Warm & Tasty,cafe,,Bulevardul Ștefan cel Mare și Sfânt,47.0264993,28.8282228,,,
La Boris,restaurant,regional;romanian,Strada Movila lui Burcel,47.0385659,28.8372203,,,
Restaurant Lion's,restaurant,,Strada Vlaicu Pârcălab,47.0193433,28.8302655,,,
Motif,bar,,Strada Calea Orheiului,47.0422521,28.8443390,,,
Lagerfild,bar,,Strada Calea Orheiului,47.0422397,28.8444255,,,
Tik Tok Kebab,fast_food,kebab,Strada Vasile Lupu,47.0217133,28.8045793,,,
Rondo Lounge Café,cafe,,Strada Ion Pelivan,47.0294798,28.7891620,+373 22 748 774,,Mo-Su 11:00-23:00
Fish-ka,cafe,,Bulevardul Moscova,47.0555893,28.8648717,,,
Line Coffee,cafe,coffee_shop,Strada Tighina,47.0166726,28.8425652,,,
Carnprodlux Grill Café,restaurant,steak_house,,47.0612402,28.9541727,,,
Invino Wine Bar,bar,,Strada Mitropolit Gavriil Bănulescu-Bodoni,47.0261969,28.8315400,,,
Pumba,cafe,coffee_shop,Strada Alba Iulia,47.0278034,28.7920185,,,
Coffee Hub,cafe,coffee_shop,Strada Nicolae Costin,47.0392792,28.7800489,,,
Coffee Time,cafe,coffee_shop,Strada Alexandru Plămădeală,47.0198743,28.8100436,,,
Barista Coffee,cafe,coffee_shop,Strada Grigore Alexandrescu,47.0195708,28.8086862,,,
LavAzza,cafe,coffee_shop,Strada Grigore Alexandrescu,47.0198479,28.8086503,,,
Don Kebab,fast_food,kebab,Strada Ismail,47.0177549,28.8480959,,,
Tucano Coffee Jamaica,cafe,coffee_shop,Strada Arborilor,47.0044187,28.8406906,,,
Dulcinella,cafe,,Strada Calea Ieșilor,47.0380032,28.8073247,,,Mo-Su 08:00-21:00
Atypic,restaurant,,Strada Aleksandr Pușkin,47.0266954,28.8385395,,,
À La Carte,restaurant,,,47.0855115,28.8273618,,,
Cafelini Coffee Roastery,cafe,coffee_shop,Strada Aleksandr Pușkin,47.0233062,28.8336441,,,
Aliodor Disco Bar,bar,,Strada Gheorghe Asachi,47.0001595,28.8209325,,,
Power Kebab,fast_food,kebab,Bulevardul Decebal,47.0055246,28.8587611,,,
Chișinău Café,cafe,,Bulevardul Constantin Negruzzi,47.0131667,28.8490845,,,
Look,bar,,Strada Kiev,47.0438954,28.8618517,,,
Cyber Arena,internet_cafe,,Strada Alba Iulia,47.0268561,28.7916497,+37378605005,,24/7
Cantina „Dieta-Vitas”,cafe,,,47.0360696,28.8196820,,,
Bar „Valna-caragia”,bar,,Strada Ioana Radu,47.0261920,28.7960919,,,
Cafenea & Bar,cafe,,Strada Ion Luca Caragiale,47.0301777,28.7848738,,,
Lavazza,cafe,coffee_shop,Strada Paris,47.0310615,28.7814110,,,
Pizzeria pe Vatră,restaurant,pizza,Strada Alexei Mateevici,47.0238103,28.8172784,+37368331113,https://www.facebook.com/Pizzeria-pe-vatr%C4%83-100286861419375/,
Boutique Café,cafe,coffee_shop,Strada Paris,47.0308355,28.7813978,,,
Caffeine,cafe,coffee_shop,Strada Tudor Vladimirescu,47.0269195,28.7737123,,,
Nori,restaurant,sushi,Strada Alba Iulia,47.0338214,28.7783818,+373 78 199 299,https://norisushi.md/,Mo-Su 11:00-23:00
Aproape,restaurant,,,47.0386758,28.8590814,+37368288222,https://aproape.md/,Mo-Su 09:00-23:00
Tiflis,restaurant,georgian,Strada Studenților,47.0617840,28.8635577,+37368575557,,Tu-Su 11:00-23:00
Julien Gastro Bistrot,restaurant,,Strada 31 August 1989,47.0191499,28.8342731,+373 696 40 001,,Mo-Su 18:00-00:00
Momo Asian Bar,restaurant,asian,Bulevardul Moscova,47.0514925,28.8645858,,,
Coffee Shop,cafe,,Strada Mitropolit Varlaam,47.0196671,28.8450830,,,
Goody's Coffee & Sweets,cafe,coffee_shop,Strada Sfatul Țării,47.0250631,28.8214422,,,
,bar,,,47.1693237,28.8366756,,,
Savciuc Vasilisa,bar,,,47.1688554,28.8351451,,,
,bar,,,47.1733339,28.7865294,,,
,bar,,,47.1757285,28.7559769,,,
,bar,,,47.1596655,28.7834902,,,
,bar,,,47.1597480,28.7835664,,,
,bar,,,47.1666285,28.8027202,,,
,bar,,,47.1443343,28.8283522,,,
,bar,,,47.1006459,28.8176724,,,
,bar,,,47.1145150,28.8037162,,,
